Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.7772712342708434,1.567173493864276,1.5715555752884378,0.28642194843134766,0.39439955419336864,0.38495035708064795
2,1.5698607547426837,1.4259937081676815,1.4340157439117645,0.3984080613065752,0.44357759821677345,0.44190907507402893
3,1.4637727157118843,1.3237924038169113,1.326457761124316,0.4379948346670054,0.47854555586514347,0.479533182372409
4,1.3674860274218674,1.2999696055207326,1.306424269769185,0.4772852364621703,0.49456673168013376,0.4885908378331301
5,1.2992572418402075,1.2338655964701637,1.2388076825394272,0.5032812566154368,0.521175814990248,0.5190733321720955
6,1.231766066764284,1.2213006248917506,1.2248482885134917,0.5327490579618104,0.5341320702145445,0.5286535446786275
7,1.1756093609389535,1.1918203952848778,1.1844419755643456,0.5566281383631821,0.5451379214265812,0.5509493119665564
8,1.1210483878790405,1.1803740615435858,1.1834657906157724,0.5791947161183792,0.5525215937587071,0.5563490681066017
9,1.0726591883758152,1.1849634652181564,1.1738788937127689,0.6018459714636522,0.5509891334633603,0.5612262672008361
10,1.0305296505474124,1.1521844821411678,1.1403108199326772,0.6167068885219527,0.5710504318751741,0.577251349939035
11,0.9761768338764206,1.196862078058162,1.1674387757990685,0.6401202421779076,0.5654778489830036,0.5751611217557917
12,0.9345133838495372,1.1370812477274301,1.1306480198351454,0.6564630170625344,0.5781554750626916,0.5791673924403414
13,0.8914417150299857,1.1388203574879663,1.129117558427508,0.6724670815868581,0.5692393424352187,0.5765546072112873
14,0.8534734660939906,1.144544618822352,1.128979884814419,0.6904610694779627,0.5771802730565617,0.5854380769900714
15,0.8048640013184997,1.1698518069523214,1.147811798498159,0.7093018332698251,0.5883254388409027,0.5915345758578645
16,0.7607544337777004,1.1637228960897317,1.183167223146699,0.7262796900800204,0.589997213708554,0.5873541194913778
17,0.7271483190554416,1.1971480329510629,1.187105059789748,0.742241415809306,0.5891613262747284,0.5957150322243512
18,0.6766280885848873,1.2988717775700618,1.3053380871051534,0.7568906388924171,0.5784341042073001,0.5767287928932242
19,0.6522200945853057,1.2476671863438558,1.2171395759728625,0.7717092171556797,0.5909724157146837,0.5969343319979098
20,0.6134785473568664,1.280436346684904,1.258388246749437,0.7841991616918582,0.5777375313457788,0.5833478488068281
21,0.5762671658324081,1.2831994371451354,1.2534441216576397,0.7963927346627715,0.5940373363053776,0.6042501306392615
22,0.5351320497424278,1.2914127371292603,1.2617300052330687,0.8157415639950887,0.5945945945945946,0.5979794460895315
23,0.5029627774755698,1.3379937704270892,1.3125965408462004,0.825140776493501,0.5876288659793815,0.5974568890437206
24,0.46919384694071176,1.4278523933955516,1.358383975238189,0.8383504805453237,0.5849818891056004,0.5978052604075945
25,0.44101990614346176,1.3769994862128738,1.3571692044356407,0.8503323595410475,0.5898578991362496,0.5911862044939906
26,0.4184342814614453,1.450991024414621,1.3940124467720894,0.8571065667471104,0.5816383393702982,0.5915345758578645
27,0.38453474031797863,1.482242346037063,1.4213078136771171,0.8668444896058258,0.5929228197269434,0.6007664170005226
28,0.36641180837374326,1.5143324483604998,1.4801191407823961,0.876709428849655,0.5941766508776818,0.6059919874586309
29,0.33672565199212806,1.556851801120226,1.5290204155411893,0.8827215377450358,0.5867929785455559,0.5878766765371887
30,0.32831409806858547,1.580982885391914,1.525210419737197,0.8905965536220839,0.5927835051546392,0.6040759449573245
